,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
1561,Muck Fire ,Y,2020-06-29T18:49:13Z,2020-06-29T12:35:41Z,CAL FIRE Lassen- Modoc Unit ,,Lassen,"Highway 299 and Muck Valley Road, South of Nubieber ",12.0,100.0,,,-121.2199939,41.0336731,Wildfire,58a3d354-a532-440e-bfa8-aca414cf4cd0,https://osfm.fire.ca.gov/incidents/2020/6/29/muck-fire/,2020-06-29T18:49:00Z,2020-06-29,2020-06-29,N,True,False
1579,Brandon Fire,Y,2020-07-08T20:33:43Z,2020-07-07T16:06:21Z,CAL FIRE Amador-El Dorado Unit,,El Dorado, Brandon Rd,32.0,100.0,,"Cameron Park Fire Dept, Shingle Springs Rancheria Tribal Fire Dept, El Dorado Hills Fire Dept., Garden Valley Fire Protection Dist., Rescue Fire Protection Dist., Diamond Springs-El Dorado Fire Protection Dist., Bureau of Land Management, USFS, El Dorado County Sheriff’s Office, PG&E",-120.941267,38.58488,Wildfire,f398ee10-0c99-4096-be61-7c1611035ce1,https://osfm.fire.ca.gov/incidents/2020/7/7/brandon-fire/,,,2020-07-07,N,True,False
1580,Nail Fire,Y,2020-07-28T15:55:23Z,2020-07-07T17:32:13Z,USFS Mendocino National Forest,,Colusa,"Fouts Springs, Southwest of Stonyford",25.0,100.0,,USFS Mendocino National Forest,-122.65813,39.35498,Wildfire,a378ae17-9133-433f-8b63-23a1a7c6a4c6,https://osfm.fire.ca.gov/incidents/2020/7/7/nail-fire/,2020-07-09T15:20:00Z,2020-07-09,2020-07-07,N,False,False
1581,Tripp Fire ,Y,2020-07-11T07:44:38Z,2020-07-09T14:27:09Z,CAL FIRE / Riverside County Fire ,,Riverside,"Cary Road and Tripp Flats Road, West of Anza ",10.0,100.0,,CAL FIRE / Riverside County Fire ,-116.7464168,33.551838,Wildfire,b4413d75-dc78-4810-9db3-c644a1afc5f3,https://osfm.fire.ca.gov/incidents/2020/7/9/tripp-fire/,2020-07-09T07:44:00Z,2020-07-09,2020-07-09,N,True,False
1582,Alum Fire,Y,2020-07-11T17:28:58Z,2020-07-11T10:50:33Z,Unified Command: CAL FIRE and San Jose Fire Department,,Santa Clara,"Mt Hamilton Rd and Crothers Rd, northeast of San Jose",31.0,100.0,,,-121.79349,37.37731,Wildfire,49be3366-f2b6-4ff5-8541-a25ad9bdc607,https://osfm.fire.ca.gov/incidents/2020/7/11/alum-fire/,2020-07-11T17:28:00Z,2020-07-11,2020-07-11,N,True,False
1584,Elliot Fire,Y,2020-07-15T18:45:16Z,2020-07-13T12:55:16Z,CALFIRE Riverside County Fire Unit,,Riverside,"Block Elliot Rd, south of  Winchester",2.0,100.0,,,-117.108421,33.623968,Wildfire,2865a54c-f7c1-4595-b4b9-1c8082df22ce,https://osfm.fire.ca.gov/incidents/2020/7/13/elliot-fire/,2020-07-13T18:45:00Z,2020-07-13,2020-07-13,N,True,False
1585,Robinson Fire,Y,2020-07-15T19:11:29Z,2020-07-13T15:06:35Z,CAL FIRE Butte County Fire Unit,,Butte,"Gold Mountain Rd and Stoney Oaks Blvd, northeast of Bangor",33.0,100.0,,,-121.37994,39.43227,Wildfire,dd705c7f-d18b-49a5-be60-c828d5c047fb,https://osfm.fire.ca.gov/incidents/2020/7/13/robinson-fire/,2020-07-15T19:09:00Z,2020-07-15,2020-07-13,N,True,False
1589,Ben Fire,Y,2020-07-18T07:58:22Z,2020-07-15T16:44:16Z,CAL FIRE Madera-Mairposa-Merced Unit,,Mariposa,"Ben Hur Road and Buckeye Road, South of Mariposa  ",48.0,100.0,,,-119.95807,37.42319,Wildfire,79575aba-0ca4-446e-a28e-39bafbad368e,https://osfm.fire.ca.gov/incidents/2020/7/15/ben-fire/,2020-07-18T07:58:00Z,2020-07-18,2020-07-15,N,True,False
1598,Feather Fire,Y,2020-07-22T14:40:34Z,2020-07-20T16:09:57Z,CAL FIRE/Butte County Fire Department,,Butte,"Feather Ave and 18th Street, Oroville",30.0,100.0,,,-121.604579,39.506597,Wildfire,64390cd6-42d4-4e9e-8dd9-1077f5191243,https://osfm.fire.ca.gov/incidents/2020/7/20/feather-fire/,2020-07-21T14:40:00Z,2020-07-21,2020-07-20,N,True,False
1611,Lincoln Fire,Y,2020-08-03T09:44:30Z,2020-07-27T18:50:25Z,Samoa Fire Protection District,,Humboldt,"Bendixsen Street and Simpson Private Road, Samoa",25.0,100.0,,Samoa Fire Protection District,-124.19954,40.78804,Wildfire,4751b58f-771f-4d9c-b742-4aad10ef45eb,https://osfm.fire.ca.gov/incidents/2020/7/27/lincoln-fire/,2020-07-31T09:44:00Z,2020-07-31,2020-07-27,N,False,False
1624,Sophia Fire,Y,2020-08-02T09:12:41Z,2020-08-02T09:12:41Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,Sophia Park Way and Alexandra Dr near El Dorado Hills in El Dorado County. ,36.0,100.0,,,-121.103299,38.686478,Wildfire,dddf569c-7540-4822-8bf4-bd15d5c4473e,https://osfm.fire.ca.gov/incidents/2020/8/2/sophia-fire/,2020-08-02T09:11:00Z,2020-08-02,2020-08-02,N,True,False
1650,3-2 Fire,Y,2020-08-17T19:24:20Z,2020-08-16T07:56:39Z,CAL FIRE San Luis Obispo Unit ,,San Luis Obispo,"Sunrise Ridge Rd and Santa Rita Rd, East of Cayucos",20.0,100.0,,CAL FIRE San Luis Obispo Unit ,-120.801074,35.519723,Wildfire,f6f24a2c-2072-4736-bca7-9a615af3156d,https://osfm.fire.ca.gov/incidents/2020/8/16/3-2-fire/,2020-08-17T19:23:00Z,2020-08-17,2020-08-16,N,True,False
1658,Murphy Fire,Y,2020-08-19T18:51:15Z,2020-08-17T20:06:44Z,CAL FIRE Amador – El Dorado Unit,,El Dorado,"Johntown Creek Road, Garden Valley",14.0,100.0,,,-120.876546,38.840068,Wildfire,1b0a862b-8fd9-4aa9-8ac7-f6ca6b3cbd39,https://osfm.fire.ca.gov/incidents/2020/8/17/murphy-fire/,2020-08-19T18:50:00Z,2020-08-19,2020-08-17,N,True,False
1670,Volcano Fire,Y,2020-08-22T21:22:19Z,2020-08-20T16:18:49Z,CAL FIRE /San Diego County Fire Department,,San Diego,"De Luz Rd and Tenaja Truck Trail, west of Temecula City",45.0,100.0,,,-117.328234,33.454896,Wildfire,d09da426-ed85-4909-892b-2505c4813d93,https://osfm.fire.ca.gov/incidents/2020/8/20/volcano-fire/,2020-08-22T21:17:00Z,2020-08-22,2020-08-20,N,True,False
1677,Perry Fire,Y,2020-08-26T19:35:14Z,2020-08-26T13:37:15Z,Unified command: CAL FIRE Nevada-Yuba-Placer Unit and City of Auburn Fire Dept,,Placer,Perry Ranch Rd and Werner Rd,9.0,100.0,,,-121.10411,38.8825,Wildfire,3826c0d8-e78d-4608-889c-b7c4f6c37a25,https://osfm.fire.ca.gov/incidents/2020/8/26/perry-fire/,,,2020-08-26,N,True,False
1682,Catholic Fire,Y,2020-09-02T07:19:00Z,2020-09-01T17:34:38Z,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,"Highway 20 and Catholic Church Rd, east of Clearlake Oaks",13.0,100.0,,,-122.637037,39.012743,Wildfire,44276cce-9fe4-472d-aac6-4d08e9d01365,https://osfm.fire.ca.gov/incidents/2020/9/1/catholic-fire/,2020-09-02T07:18:00Z,2020-09-02,2020-09-01,N,True,False
1689,Sperry Fire,Y,2020-09-16T07:28:21Z,2020-09-08T22:27:00Z,CAL FIRE Santa Clara Unit ,,Stanislaus,"Interstate 5 and Sperry Road, West of Patterson ",45.0,100.0,,,-121.18018,37.46377,Wildfire,a7f3e6f3-3e15-4350-a0f7-2a5392e0708d,https://osfm.fire.ca.gov/incidents/2020/9/8/sperry-fire/,2020-09-09T07:27:00Z,2020-09-09,2020-09-08,N,True,False
